Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,Calar Alto-CASADO,G36,,Calar Alto-CASADO
,Calar Alto-Schmidt,Z84,,Calar Alto-Schmidt
CALET,Calorimetric Electron Telescope,,,CALET
,Calgary,681,,Calgary
,Caltech Submillimeter Observatory,,,Caltech Submillimeter Observatory
,Calvin College Observatory,H62,,Calvin College Observatory
,"Calvin M. Hooper Memorial Observatory, Hyde Park",G87,,"Calvin M. Hooper Memorial Observatory, Hyde Park"
,"Calvin-Rehoboth Observatory, Rehoboth",G98,,"Calvin-Rehoboth Observatory, Rehoboth"
,Camarillo,670,,Camarillo
,Cambridge,503,,Cambridge
,Cambridge Observatory,,,Cambridge Observatory
,Camille Flammarion Observatory,,,Camille Flammarion Observatory
,Camorino,B07,,Camorino
,Campbelltown Rotary Observatory,,,Campbelltown Rotary Observatory
,Campinas,870,,Campinas
,Campo Imperatore Near-Earch Object Survey,,,Campo Imperatore Near-Earch Object Survey
,Campo Imperatore-CINEOS,599,,Campo Imperatore-CINEOS
,"Campocatino Automated Telescope, Collepardo",A38,,"Campocatino Automated Telescope, Collepardo"
,Cancelada,Z36,,Cancelada
,Canopus Hill Observatory,,,Canopus Hill Observatory
,"CAO, San Pedro de Atacama (since 2013)",W96,,"CAO, San Pedro de Atacama (since 2013)"
,"CAO, San Pedro de Atacama (until 2012)",I10,,"CAO, San Pedro de Atacama (until 2012)"
,Capannoli,B09,,Capannoli
,Capaodimonte Observatory,,,Capaodimonte Observatory
,Capilla Peak Observatory,,,Capilla Peak Observatory
,"Capodimonte Observatory, Naples",044,,"Capodimonte Observatory, Naples"
,Caraquiz,J12,,Caraquiz
,"Carbuncle Hill Observatory, Coventry",I00,,"Carbuncle Hill Observatory, Coventry"
,"Carbuncle Hill Observatory, Greene",912,,"Carbuncle Hill Observatory, Greene"
,Cardiff,Z46,,Cardiff
,"Carla Jane Observatory, Charlotte",450,,"Carla Jane Observatory, Charlotte"
,"Carpione Observatory, Spedaletto",K49,,"Carpione Observatory, Spedaletto"
,"Carroll Observatory, Montecito",G60,,"Carroll Observatory, Montecito"
,Carter Observatory,,,Carter Observatory
,"Carter Observatory, Black Birch Station",483,,"Carter Observatory, Black Birch Station"
,"Carter Observatory, Wellington",485,,"Carter Observatory, Wellington"
,"Casal Lumbroso, Rome",B53,,"Casal Lumbroso, Rome"
,Cascade Mountain,H44,,Cascade Mountain
,Casselman,G30,,Casselman
,Cassini,,,Cassini
,"CAST Observatory, Talmassons",235,,"CAST Observatory, Talmassons"
,Castel Gandolfo,036,,Castel Gandolfo
,Castelmartini,160,,Castelmartini
,"Castle Fields Observatory, Calne",L97,,"Castle Fields Observatory, Calne"
,Castlemaine,E00,,Castlemaine
,Castres,124,,Castres
,Catalina Sky Survey,703,,Catalina Sky Survey
,Catalina Sky Survey-Kuiper,V06,,Catalina Sky Survey-Kuiper
,"Catalina Station, Tucson",693,,"Catalina Station, Tucson"
,Catania,B25,,Catania
,Catania Astrophysical Observatory,156,,Catania Astrophysical Observatory
,"Catholic University Observatory, Washington",295,,"Catholic University Observatory, Washington"
,Cat's Eye Observatory,D13,,Cat's Eye Observatory
CATSAT,Coooerative Astrophysics & Technology Satellite,,,CATSAT
,Caussols,010,,Caussols
,Caussols-ODAS,910,,Caussols-ODAS
,Cavezzo,107,,Cavezzo
,Cavriana,571,,Cavriana
,Cawthron Atkinson Observatory,,,Cawthron Atkinson Observatory
,CBA Concord,455,,CBA Concord
,"CBA-East Observatory, Laurel",H86,,"CBA-East Observatory, Laurel"
,"CBA-MM Observatory, Mountain Meadows",W49,,"CBA-MM Observatory, Mountain Meadows"
,"CBA-NOVAC Observatory, Front Royal",H82,,"CBA-NOVAC Observatory, Front Royal"
CBI,Cosmic Background Imager,,,CBI
,CCAT Trieste,G31,,CCAT Trieste
,"CEAMIG-REA Observatory, Belo Horizonte",I77,,"CEAMIG-REA Observatory, Belo Horizonte"
,Ceccano,470,,Ceccano
,"Cedar Drive Observatory, Pulaski",H54,,"Cedar Drive Observatory, Pulaski"
,Cedar Glen Observatory,U78,,Cedar Glen Observatory
,Cedar Knolls,H94,,Cedar Knolls
,Celbridge,J65,,Celbridge
,Celico,K72,,Celico
,"Celitial Observatory (Russellville, AK)",,,"Celitial Observatory (Russellville, AK)"
,Centenial Observatory,,,Centenial Observatory
,Centennial Observatory,447,,Centennial Observatory
,Centre Astronomique de La Couyere,J23,,Centre Astronomique de La Couyere
,"Centro Astronomico Alto Turia, Valencia",J57,,"Centro Astronomico Alto Turia, Valencia"
,Centro Astronomico de Yebes,491,,Centro Astronomico de Yebes
,Cereseto,K37,,Cereseto
,Cerrina Tololo Observatory,161,,Cerrina Tololo Observatory
,Cerro Armazones,I09,,Cerro Armazones
,Cerro Armazones Observatory,,,Cerro Armazones Observatory
,"Cerro del Viento, Badajoz",I84,,"Cerro del Viento, Badajoz"
,Cerro Pachon Observatory,,,Cerro Pachon Observatory
,Cerro Paranal,309,,Cerro Paranal
,Cerro Tololo Inter-American Observatory,,,Cerro Tololo Inter-American Observatory
,"Cerro Tololo Observatory, La Serena",807,,"Cerro Tololo Observatory, La Serena"
,"Cerro Tololo Observatory, La Serena--2MASS",I02,,"Cerro Tololo Observatory, La Serena--2MASS"
,Cerro Tololo-DECam,W84,,Cerro Tololo-DECam
,Cerro Tololo-LCO A,W85,,Cerro Tololo-LCO A
,Cerro Tololo-LCO Aqawan A #1,W89,,Cerro Tololo-LCO Aqawan A #1
,Cerro Tololo-LCO Aqawan B #1,W79,,Cerro Tololo-LCO Aqawan B #1
,Cerro Tololo-LCO B,W86,,Cerro Tololo-LCO B
,Cerro Tololo-LCO C,W87,,Cerro Tololo-LCO C
,Cesena,K65,,Cesena
,Cesson,B24,,Cesson
CGRO,Compton Gamma Ray Observatory,,,CGRO
,"Chabot Space and Science Center, Oakland",G58,,"Chabot Space and Science Center, Oakland"
,Chamberlin field station,707,,Chamberlin field station
,Chamberlin Observatory,708,,Chamberlin Observatory
Chandra,Chandra X-ray Observatory,,,Chandra
,Changchun Astronmical Observatory,,,Changchun Astronmical Observatory
,Chapel Hill,H34,,Chapel Hill
,Cheam,499,,Cheam
,Chelford Observatory,Z59,,Chelford Observatory
,Chelles,C61,,Chelles
,Chelmsford,970,,Chelmsford
CHEOPS,Characterizing Exoplanet Satellite,,,CHEOPS
,"Cherkizovo Observatory, Moscow Oblast",L67,,"Cherkizovo Observatory, Moscow Oblast"
