Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,Machida,Q19,,Machida
,Macnairston Observatory,487,,Macnairston Observatory
,Macquarie,424,,Macquarie
,Madison-YRS,927,,Madison-YRS
,Madonna di Dossobuono,560,,Madonna di Dossobuono
,Madras,223,,Madras
,Madrid,990,,Madrid
,Magdalena Ridge Observatory,H01,,Magdalena Ridge Observatory
,"Magellan Observatory, near Goulburn",E15,,"Magellan Observatory, near Goulburn"
,Maidbronn,B82,,Maidbronn
,"Maiden Lane Obs., Bainbridge Island",G59,,"Maiden Lane Obs., Bainbridge Island"
,Maidenhead,I64,,Maidenhead
,Mainz,090,,Mainz
,Maisoncelles,C10,,Maisoncelles
,Maisons Laffitte,150,,Maisons Laffitte
,Majdanak,188,,Majdanak
,Majorca Observatory,,,Majorca Observatory
,Makerstoun,J85,,Makerstoun
,Malaga,J40,,Malaga
,Malakoff Tower,,,Malakoff Tower
,Malibert,A08,,Malibert
,"Malina River Observatory, Povoletto",B90,,"Malina River Observatory, Povoletto"
,Mamalluca Observatory,I04,,Mamalluca Observatory
,Manastash ridge Observatory,,,Manastash ridge Observatory
,Manastash Ridge Observatory,664,,Manastash Ridge Observatory
,"Mandi Observatory, Pagnacco",B28,,"Mandi Observatory, Pagnacco"
,Mannheim,524,,Mannheim
,MAP,,,MAP
,Marageh Observatory,,,Marageh Observatory
,Marana Observatory,B79,,Marana Observatory
,Marburg,525,,Marburg
,Margaret M. Jocoby Observatory,,,Margaret M. Jocoby Observatory
,"MARGO, Nauchnij",L51,,"MARGO, Nauchnij"
,Maria Mitchell Observatory,,,Maria Mitchell Observatory
,"Maria Mitchell Observatory, Nantucket",811,,"Maria Mitchell Observatory, Nantucket"
,"Marienburg Sternwarte, Hildesheim",K44,,"Marienburg Sternwarte, Hildesheim"
,Marina di Cerveteri,K53,,Marina di Cerveteri
,Marina Towers Observatory,,,Marina Towers Observatory
,"Marine Observatory, Hamburg",518,,"Marine Observatory, Hamburg"
,"Maritime Alps Observatory, Cuneo",K32,,"Maritime Alps Observatory, Cuneo"
,"Mark Evans Observatory, Bloomington",W04,,"Mark Evans Observatory, Bloomington"
,"Mark Slade Remote Observatory, Wilderness",W54,,"Mark Slade Remote Observatory, Wilderness"
,Markree,977,,Markree
,Markree Observatory,,,Markree Observatory
,Marl,605,,Marl
,Mars 4,,,Mars 4
,Mars 5,,,Mars 5
,Mars Climate Orbiter,,,Mars Climate Orbiter
,Mars Express,,,Mars Express
,Mars Global Surveyor,,,Mars Global Surveyor
,Mars Observer,,,Mars Observer
,Mars Pathfinder,,,Mars Pathfinder
,Mars Polar Lander,,,Mars Polar Lander
,Mars Sureyor 2001,,,Mars Sureyor 2001
,Mars Sureyor 98,,,Mars Sureyor 98
,Marseille Observatory,,,Marseille Observatory
,Marseilles,014,,Marseilles
,Marsfield,E20,,Marsfield
,"Martesana Observatory, Cassina de Pecchi",L64,,"Martesana Observatory, Cassina de Pecchi"
,Martigues,618,,Martigues
,"Martin Observatory, Blacksburg",841,,"Martin Observatory, Blacksburg"
,Martin S. Kraar Observatory,C78,,Martin S. Kraar Observatory
,Martz Observatory,,,Martz Observatory
,Marxuquera,952,,Marxuquera
,Maryland Space Grant Consortium Observatory,454,,Maryland Space Grant Consortium Observatory
,Masia Cal Maciarol Modul 2,A01,,Masia Cal Maciarol Modul 2
,Masia Cal Maciarol Modul 8,A02,,Masia Cal Maciarol Modul 8
,Masquefa Observatory,232,,Masquefa Observatory
,"MASTER-IAC Observatory, Tenerife",Z22,,"MASTER-IAC Observatory, Tenerife"
,"MASTER-II Observatory, Blagoveshchensk",D54,,"MASTER-II Observatory, Blagoveshchensk"
,"MASTER-II Observatory, Kislovodsk",C41,,"MASTER-II Observatory, Kislovodsk"
,"MASTER-II Observatory, Tunka",C94,,"MASTER-II Observatory, Tunka"
,"MASTER-OAFA Observatory, San Juan",W92,,"MASTER-OAFA Observatory, San Juan"
,"MASTER-SAAO Observatory, Sutherland",K95,,"MASTER-SAAO Observatory, Sutherland"
,MASTER-Tavrida,L52,,MASTER-Tavrida
,Mataro,A06,,Mataro
,Matera,A47,,Matera
,Matosinhos,J11,,Matosinhos
,Mauguio,180,,Mauguio
,Mauna Kea,568,,Mauna Kea
,Mauna Kea Observatory,,,Mauna Kea Observatory
,Mauna Kea-UH/Tholen NEO Follow-Up (2.24-m),T12,,Mauna Kea-UH/Tholen NEO Follow-Up (2.24-m)
,Mauna Kea-UH/Tholen NEO Follow-Up (CFHT),T14,,Mauna Kea-UH/Tholen NEO Follow-Up (CFHT)
,Mauna Kea-UH/Tholen NEO Follow-Up (Subaru),T09,,Mauna Kea-UH/Tholen NEO Follow-Up (Subaru)
,Mauna Key Observatory,,,Mauna Key Observatory
,Mauna Loa Solar Observatory,,,Mauna Loa Solar Observatory
,"Mauren Valley Observatory, Holzgerlingen",B73,,"Mauren Valley Observatory, Holzgerlingen"
MAXI,Monitor of All-sky X-ray Image,,,MAXI
,Maynard F. Jordan Observatory,,,Maynard F. Jordan Observatory
,Mays Odyssey,,,Mays Odyssey
,Mazariegos,Z50,,Mazariegos
,McDonald Observatory,,,McDonald Observatory
,"McDonald Observatory, Fort Davis",711,,"McDonald Observatory, Fort Davis"
,McDonald Observatory-LCO ELP,V37,,McDonald Observatory-LCO ELP
,McDonald Observatory-LCO ELP Aqawan A #1,V38,,McDonald Observatory-LCO ELP Aqawan A #1
,McDonald Observatory-LCO ELP B,V39,,McDonald Observatory-LCO ELP B
,McKim Observatory,,,McKim Observatory
,McMath-Hulbert Solar Observatory,,,McMath-Hulbert Solar Observatory
,McMath-Pierce Solar Telescope,,,McMath-Pierce Solar Telescope
,"McMillin Observatory, Columbus",769,,"McMillin Observatory, Columbus"
,MDM Observatory,,,MDM Observatory
,Mead Observatory,,,Mead Observatory
,Medicina Radio Observatory,,,Medicina Radio Observatory
,"MeerLICHT-1, Sutherland",L66,,"MeerLICHT-1, Sutherland"
,Mees Observatory,,,Mees Observatory
,Mehalso Observatory,,,Mehalso Observatory
,Melbourne,907,,Melbourne
,Melbourne Observatory,,,Melbourne Observatory
,Melezhy Astrophoto Observatory,L72,,Melezhy Astrophoto Observatory
,Melton Memorial Observatory,,,Melton Memorial Observatory
,"Mendel Observatory, Merrimack College",W82,,"Mendel Observatory, Merrimack College"
,Mendenhall Observatory,,,Mendenhall Observatory
,Menke Observatory,,,Menke Observatory
,Merate,096,,Merate
,Merignac,957,,Merignac
,Merlette,472,,Merlette
,Meschede,519,,Meschede
MESSENGER,"MErcury Surface, Space ENvironment, GEochemistry, and Ranging",,,MESSENGER
,Metsahovi Observatory,,,Metsahovi Observatory
,"Metsahovi Optical Telescope, Metsahovi",L08,,"Metsahovi Optical Telescope, Metsahovi"
,"Metsala Observatory, Espoo",B47,,"Metsala Observatory, Espoo"
,Metzerlen,590,,Metzerlen
,Metzerlen Observatory,577,,Metzerlen Observatory
,Meudon,005,,Meudon
,Meudon Observatory,,,Meudon Observatory
,Meyer-Womble Observatory,,,Meyer-Womble Observatory
,"Michigan State University Obs., East Lansing",766,,"Michigan State University Obs., East Lansing"
,Michigan State Universtiy Observatory,,,Michigan State Universtiy Observatory
,Mickleover,492,,Mickleover
,"Micro Palomar, Reilhanette",K10,,"Micro Palomar, Reilhanette"
,Middlebury,297,,Middlebury
,Middlesex School Observatory,I29,,Middlesex School Observatory
,Milan,027,,Milan
,"Mill Creek Observatory, The Dalles",G63,,"Mill Creek Observatory, The Dalles"
,Millau Observatory,G07,,Millau Observatory
,Miller Observatgory,,,Miller Observatgory
,Mills Observatory,,,Mills Observatory
,"Millwood Observatory, Comfort",V59,,"Millwood Observatory, Comfort"
,Minami-Oda Observatory,374,,Minami-Oda Observatory
,Minnetonka,G49,,Minnetonka
,Minor Planet Center Test Code,310,,Minor Planet Center Test Code
,Miscellaneous,,,Miscellaneous
,Mishima,886,,Mishima
,Missouri City,722,,Missouri City
,Miwa,D83,,Miwa
,Miyaki-Argenteus,D62,,Miyaki-Argenteus
,Miyasaka Observatory,366,,Miyasaka Observatory
MMT,Multiple Mirror Telescope Observatory,,,MMT
,"Moana Observatory, Punaauia",F86,,"Moana Observatory, Punaauia"
,Modra Observatory,,,Modra Observatory
,Mohr Observatory,,,Mohr Observatory
,"Moka Observatory, Benson",V09,,"Moka Observatory, Benson"
,Moletai Astronomical Observatory,152,,Moletai Astronomical Observatory
,"MONET South, Sutherland",L61,,"MONET South, Sutherland"
,Mont Megantic,301,,Mont Megantic
,Mont Megantic Observatory,,,Mont Megantic Observatory
,"Montarrenti Observatory, Siena",C88,,"Montarrenti Observatory, Siena"
,Monte Agliale,159,,Monte Agliale
,Monte Argentario,593,,Monte Argentario
,Monte Autore,594,,Monte Autore
,Monte Generoso,179,,Monte Generoso
,"Monte Mario Observatory, Rome",034,,"Monte Mario Observatory, Rome"
,Monte Viseggi,126,,Monte Viseggi
,"Montecanal Observatory, Zaragoza",Z61,,"Montecanal Observatory, Zaragoza"
,Montelupo,108,,Montelupo
,Monterey Institute for Research in Astronomy,,,Monterey Institute for Research in Astronomy
,"Montevenere Observatory, Monzuno",C91,,"Montevenere Observatory, Monzuno"
,Montevideo National Observatory,,,Montevideo National Observatory
,Montjoia,953,,Montjoia
,Montpellier,003,,Montpellier
,Montseny Astronomical Observatory,B06,,Montseny Astronomical Observatory
,"Moonedge Observatory, Northport",928,,"Moonedge Observatory, Northport"
,"Moonglow Observatory, Warrensburg",H27,,"Moonglow Observatory, Warrensburg"
,Moore Observatory,,,Moore Observatory
,Moorpark College Observatory,666,,Moorpark College Observatory
,Moorwarfen,481,,Moorwarfen
,Moose Springs Observatory,V14,,Moose Springs Observatory
,Morgan-Monroe Observatory,,,Morgan-Monroe Observatory
,Morgantown,I34,,Morgantown
,Moriyama,900,,Moriyama
,Morning Star Observatory,H14,,Morning Star Observatory
,Morrison Obervatory,745,,Morrison Obervatory
,Moscow,105,,Moscow
,Moscow Cosmic-Ray Station,,,Moscow Cosmic-Ray Station
MOST,Microvariabiity and Oscillation of Stars Telescope,,,MOST
MOST,Molonglo Observatory Synthesis Telescope,,,MOST
,Mounds Observatory,,,Mounds Observatory
,Mount Abu InfraRed Observatory,,,Mount Abu InfraRed Observatory
,Mount Belleview Observatory,462,,Mount Belleview Observatory
,Mount Burnett Observatory,,,Mount Burnett Observatory
,Mount Cuba Astronomical Observatory,,,Mount Cuba Astronomical Observatory
,"Mount Cuba Observatory, Wilmington",788,,"Mount Cuba Observatory, Wilmington"
,Mount Graham International Observatory,,,Mount Graham International Observatory
,"Mount John Observatory, Lake Tekapo",474,,"Mount John Observatory, Lake Tekapo"
,Mount John University Observatory,,,Mount John University Observatory
,Mount Laguna Observatory,,,Mount Laguna Observatory
,Mount Laguna Observatory,U83,,Mount Laguna Observatory
,Mount Lemmon Observatory,,,Mount Lemmon Observatory
,Mount Lemmon SkyCenter,G84,,Mount Lemmon SkyCenter
,Mount Matajur Observatory,B68,,Mount Matajur Observatory
,"Mount Molehill Observatory, Auckland",466,,"Mount Molehill Observatory, Auckland"
,Mount Pleasant Radio Observatory,,,Mount Pleasant Radio Observatory
,Mount Stony Brook Observatory,,,Mount Stony Brook Observatory
,Mount Stromlo,414,,Mount Stromlo
,Mount Stromlo Observatory,,,Mount Stromlo Observatory
,Mount Suhora Observatory,,,Mount Suhora Observatory
,"Mount Tuffley Observatory, Gloucester",J93,,"Mount Tuffley Observatory, Gloucester"
,Mount Wilson,,,Mount Wilson
,Mount Wilson,672,,Mount Wilson
,Mount Wilson Observatory,,,Mount Wilson Observatory
,Mount Wilson-TIE,G73,,Mount Wilson-TIE
,"Mountain Creek Ranch, Vail",V08,,"Mountain Creek Ranch, Vail"
,Mountain Skies Observatory,,,Mountain Skies Observatory
,"Mountainville Observatory, Alpine",V01,,"Mountainville Observatory, Alpine"
,"MPO Observatory, Florissant",710,,"MPO Observatory, Florissant"
MSX,Midcourse Space Experiment,,,MSX
,Mt. Bigelow,698,,Mt. Bigelow
,Mt. Graham-LBT,G83,,Mt. Graham-LBT
,Mt. Graham-VATT,290,,Mt. Graham-VATT
,Mt. Guizi Observatory,D18,,Mt. Guizi Observatory
,"Mt. Kajigamori, Otoyo",421,,"Mt. Kajigamori, Otoyo"
,Mt. Lemmon Survey,G96,,Mt. Lemmon Survey
,Mt. Stromlo and Sidings Springs,,,Mt. Stromlo and Sidings Springs
,"Mt. Tarana Observatory, Bathurst",431,,"Mt. Tarana Observatory, Bathurst"
,Mt. Wendelstein Observatory,230,,Mt. Wendelstein Observatory
,Mueggelheim,A37,,Mueggelheim
,"Muensterschwarzach Observatory, Schwarzach",K74,,"Muensterschwarzach Observatory, Schwarzach"
,Mulheim-Ruhr,628,,Mulheim-Ruhr
,Mullard Radio Astronomy Observatory,,,Mullard Radio Astronomy Observatory
,Mundenheim (1907-1913),514,,Mundenheim (1907-1913)
,Munich,532,,Munich
,Murchison Radio-astronomy Observatory,,,Murchison Radio-astronomy Observatory
,Murcia,J78,,Murcia
,Murou,378,,Murou
,"Murray Hill Observatory, Beaverton",U53,,"Murray Hill Observatory, Beaverton"
,Murrumbateman,E07,,Murrumbateman
,Murviel-les-Montpellier,K15,,Murviel-les-Montpellier
,Muxagata,J15,,Muxagata
MWA,Murchison Widefield Array,,,MWA
,Nachi-Katsuura Observatory,905,,Nachi-Katsuura Observatory
,Nachi-Katsuura Observatry,,,Nachi-Katsuura Observatry
,Nagano,D81,,Nagano
,Nagatoro,398,,Nagatoro
,Nakagawa,D74,,Nakagawa
,Nancay Radio Telescope,,,Nancay Radio Telescope
,"Nanchuan Observatory, Guangzhou",D14,,"Nanchuan Observatory, Guangzhou"
,Nanjing Astronomical Instruments Research Centre,,,Nanjing Astronomical Instruments Research Centre
,Nanosat Constellation Trailblazer Mission,,,Nanosat Constellation Trailblazer Mission
,"Nanshan Station, Xinjiang Observatory",N87,,"Nanshan Station, Xinjiang Observatory"
,Nanyo,358,,Nanyo
,"NAO Rozhen, Smolyan",071,,"NAO Rozhen, Smolyan"
,Narama,B45,,Narama
,"NASA/MSFC ALaMO, Redstone Arsenal",H58,,"NASA/MSFC ALaMO, Redstone Arsenal"
,Nashville,759,,Nashville
,"Natelli Observatory, Frederick",W55,,"Natelli Observatory, Frederick"
,National Astronomical Observatory (Colombia),,,National Astronomical Observatory (Colombia)
,National Astronomical Observatory (Mexico),,,National Astronomical Observatory (Mexico)
,National Astronomical Observatory of Japan,,,National Astronomical Observatory of Japan
,National Observatory (Brazil),,,National Observatory (Brazil)
,National Observatory of Athens,,,National Observatory of Athens
,"National Observatory, Tacubaya",724,,"National Observatory, Tacubaya"
,National Optical Observatory (Turkey),,,National Optical Observatory (Turkey)
,National Research Council of Canada,658,,National Research Council of Canada
,National Solar Observatory,,,National Solar Observatory
,Naval Rearch Laboratory Radio Station,,,Naval Rearch Laboratory Radio Station
,Naylor Observatory,,,Naylor Observatory
,"Nayoro Observatory, Hokkaido University",Q33,,"Nayoro Observatory, Hokkaido University"
NEAR,Near Earth Asteroid Rendezvous,,,NEAR
,"Nebula Knoll Observatoy, East Wakefield",W81,,"Nebula Knoll Observatoy, East Wakefield"
,Nelson,E81,,Nelson
,NEOSSat,C53,,NEOSSat
,NeoWISE,,,NeoWISE
,Neuchatel,019,,Neuchatel
,Neuchatel Observatory,,,Neuchatel Observatory
,Neutraubling,K71,,Neutraubling
,"New Bullpen Observatory, Alpharetta",737,,"New Bullpen Observatory, Alpharetta"
,New Horizons,C54,,New Horizons
,New Horizons KBO Search-CFHT,267,,New Horizons KBO Search-CFHT
,New Horizons KBO Search-Magellan/Baade,269,,New Horizons KBO Search-Magellan/Baade
,New Horizons KBO Search-Magellan/Clay,268,,New Horizons KBO Search-Magellan/Clay
,New Horizons KBO Search-Subaru,266,,New Horizons KBO Search-Subaru
,"New Millennium Observatory, Mozzate",A24,,"New Millennium Observatory, Mozzate"
,New Technology Telescope,,,New Technology Telescope
,Newcastle,H61,,Newcastle
,Newcastle-upon-Tyne,488,,Newcastle-upon-Tyne
,"NF Observatory, Silver City",G99,,"NF Observatory, Silver City"
NGSS,Nearby Galaxies Supernova Survey,,,NGSS
,Nice,020,,Nice
,Nice Observatory,,,Nice Observatory
NICER,Neutron star Interior composition Exporer,,,NICER
,Nihondaira Observatory,385,,Nihondaira Observatory
,Nijmegen,C39,,Nijmegen
,Nikolaev,089,,Nikolaev
,Nimes,282,,Nimes
,Nishi Kobe,353,,Nishi Kobe
,Nizamia Observatory,,,Nizamia Observatory
,"NJIT Observatory, Newark",H95,,"NJIT Observatory, Newark"
,NNHS Drummonds Observatory,Z34,,NNHS Drummonds Observatory
,"NOAK Observatory, Stavraki",L02,,"NOAK Observatory, Stavraki"
NOAO,National Optical Astronomy Observatory,,,NOAO
,"Nomad Observatory, Kochevanchik",L76,,"Nomad Observatory, Kochevanchik"
,Nonndorf,C47,,Nonndorf
,Norderstedt,606,,Norderstedt
,Nordic Optical Telescope,,,Nordic Optical Telescope
,"Nordic Optical Telescope, La Palma",Z23,,"Nordic Optical Telescope, La Palma"
,Norilsk Cosmic-Ray Station,,,Norilsk Cosmic-Ray Station
,"Norma Rose Observatory, Leyburn",E21,,"Norma Rose Observatory, Leyburn"
,Norman Lockyer Observatory,,,Norman Lockyer Observatory
,North Georgia Astronomical Observatory,,,North Georgia Astronomical Observatory
,"North Observatory, Clanfield",J69,,"North Observatory, Clanfield"
,North Otago Astronomical Society Observatory,,,North Otago Astronomical Society Observatory
,North Ryde,423,,North Ryde
,North Scituate,814,,North Scituate
,Northbrook Meadow Observatory,H56,,Northbrook Meadow Observatory
,Northern Arizaon University Observatory,,,Northern Arizaon University Observatory
,"Northern Arizona University, Flagstaff",687,,"Northern Arizona University, Flagstaff"
,Northolt Branch Observatory,Z80,,Northolt Branch Observatory
,"Northolt Branch Observatory 2, Shepherd's Bush",Z48,,"Northolt Branch Observatory 2, Shepherd's Bush"
,"Northolt Branch Observatory 3, Blandford Forum",Z37,,"Northolt Branch Observatory 3, Blandford Forum"
,"Northview Observatory, Mendon",H84,,"Northview Observatory, Mendon"
,"Northwest Florida State College, Niceville",I44,,"Northwest Florida State College, Niceville"
,"Northwest Indiana Robotic Telescope, Lowell",W11,,"Northwest Indiana Robotic Telescope, Lowell"
,Northwood Ridge Observatory,225,,Northwood Ridge Observatory
,Nova Milanese,A25,,Nova Milanese
,Novi Ligure,579,,Novi Ligure
NRAO,National Radio Astronomy Observatory,,,NRAO
NRIAG,National Research Institute of Astronomy and Geophysics,,,NRIAG
,Nubbin Ridge Observatory,H40,,Nubbin Ridge Observatory
NuSTAR,Nuclear Spectroscopic Telescope Array,,,NuSTAR
,Nyenheim,507,,Nyenheim
,Nyrola Observatory,,,Nyrola Observatory
,"Nyrola Observatory, Jyvaskyla",174,,"Nyrola Observatory, Jyvaskyla"
,Nyukasa,408,,Nyukasa
OAC,Observatorio Astronomico de Cordoba,,,OAC
,"OACL Observatory, Mosciano Sant Angelo",C96,,"OACL Observatory, Mosciano Sant Angelo"
,"Oak Bay, Victoria",642,,"Oak Bay, Victoria"
,Oak Ridge Observatory,801,,Oak Ridge Observatory
,"Oakley Observatory, Terre Haute",916,,"Oakley Observatory, Terre Haute"
,"Oakley Southern Sky Observatory, Coonabarabran",E09,,"Oakley Southern Sky Observatory, Coonabarabran"
,"Oakridge Observatory, Miami",H76,,"Oakridge Observatory, Miami"
,Oakwood,749,,Oakwood
,"OAM Observatory, La Sagra",J75,,"OAM Observatory, La Sagra"
,"OAN de Llano del Hato, Merida",303,,"OAN de Llano del Hato, Merida"
OAO,Observatoria de Aras de los Olmos,,,OAO
,OAO University Observatory Station Aras,Z35,,OAO University Observatory Station Aras
,"OASI, Nova Itacuruba",Y28,,"OASI, Nova Itacuruba"
,"OAVdA, Saint-Barthelemy",B04,,"OAVdA, Saint-Barthelemy"
,Oaxaca,732,,Oaxaca
,Oberfrauendorf,G34,,Oberfrauendorf
,Oberwichtrach,622,,Oberwichtrach
,Oberwiesenthal,C22,,Oberwiesenthal
,O'Brien Observatory,,,O'Brien Observatory
,"Obs. Astronomico de Mercedes, Buenos Aires",833,,"Obs. Astronomico de Mercedes, Buenos Aires"
,"Obs. Astronomico Plomer, Buenos Aires",443,,"Obs. Astronomico Plomer, Buenos Aires"
,"Obs. Astronomico Vega del Thader, El Palmar",J70,,"Obs. Astronomico Vega del Thader, El Palmar"
,"Obs. Casalecchio di Reno, Bologna",205,,"Obs. Casalecchio di Reno, Bologna"
,"Obs. de L' Ametlla del Valles, Barcelona",B37,,"Obs. de L' Ametlla del Valles, Barcelona"
,"ObsCT, Catania",L45,,"ObsCT, Catania"
,"Observacao Astronomica no Algarve, Portimao",965,,"Observacao Astronomica no Algarve, Portimao"
,Observatoire Astronomique Jurassien-Vicques,185,,Observatoire Astronomique Jurassien-Vicques
,"Observatoire Chante-Perdrix, Dauban",A77,,"Observatoire Chante-Perdrix, Dauban"
,Observatoire de Chalandray-Canotiers,A58,,Observatoire de Chalandray-Canotiers
,Observatoire de Dax,958,,Observatoire de Dax
,"Observatoire de Gravelle, St. Maurice",K07,,"Observatoire de Gravelle, St. Maurice"
,Observatoire de l'Ardeche,131,,Observatoire de l'Ardeche
,"Observatoire de Nurol, Aurec sur Loire",091,,"Observatoire de Nurol, Aurec sur Loire"
,Observatoire de Pommier,K11,,Observatoire de Pommier
,"Observatoire des Baronnies Provencales, Moydans",B10,,"Observatoire des Baronnies Provencales, Moydans"
,Observatoire des Cote de Meuse,216,,Observatoire des Cote de Meuse
,"Observatoire des Makes, Saint-Louis",181,,"Observatoire des Makes, Saint-Louis"
,"Observatoire des Pleiades, Mandeville",H96,,"Observatoire des Pleiades, Mandeville"
,"Observatoire des Terres Blanches, Reillanne",B26,,"Observatoire des Terres Blanches, Reillanne"
,"Observatoire des Valentines, Bex",K17,,"Observatoire des Valentines, Bex"
,Observatoire du Cegep de Trois-Rivieres,924,,Observatoire du Cegep de Trois-Rivieres
,Observatoire du Pi de Chateau-Renard,,,Observatoire du Pi de Chateau-Renard
,"Observatoire GOZ, Montpellier",W65,,"Observatoire GOZ, Montpellier"
,Observatoire Midi-Pyrenees,,,Observatoire Midi-Pyrenees
,"Observatoire Naef, Marly",A13,,"Observatoire Naef, Marly"
,"Observatoire SADR, Poroto",X03,,"Observatoire SADR, Poroto"
,Observatori AAS Montsec,K03,,Observatori AAS Montsec
,Observatori Astronomic Albanya,L17,,Observatori Astronomic Albanya
,Observatori Astronomic de Les Planes de Son,C29,,Observatori Astronomic de Les Planes de Son
,Observatori Astronomic de Tiana,B89,,Observatori Astronomic de Tiana
,Observatori Astronomic del Montsec,C65,,Observatori Astronomic del Montsec
,"Observatori Can Roig, Llagostera",C99,,"Observatori Can Roig, Llagostera"
,"Observatori Negara, Langkawi",O43,,"Observatori Negara, Langkawi"
,Observatori Petit Sant Feliu,D02,,Observatori Petit Sant Feliu
,Observatoria Astronomica Nacional Tonantzintla,,,Observatoria Astronomica Nacional Tonantzintla
,Observatoriao Astronomico Nacional (Columbia),,,Observatoriao Astronomico Nacional (Columbia)
,"Observatorio Adhara, Sorocaba",X88,,"Observatorio Adhara, Sorocaba"
,"Observatorio AGP GUAM 4, Malaga",Z13,,"Observatorio AGP GUAM 4, Malaga"
,"Observatorio Alnitak, El Puerto de Santa Maria",L37,,"Observatorio Alnitak, El Puerto de Santa Maria"
,Observatorio Altamira,J24,,Observatorio Altamira
,"Observatorio Antares, Pilar",X39,,"Observatorio Antares, Pilar"
,Observatorio Astrofisico de Javalambre,Z32,,Observatorio Astrofisico de Javalambre
,"Observatorio Astronomico Arcangel, Las Zocas",Z26,,"Observatorio Astronomico Arcangel, Las Zocas"
,Observatorio Astronomico Corgas,Z65,,Observatorio Astronomico Corgas
,Observatorio Astronomico de Cartagena,L95,,Observatorio Astronomico de Cartagena
,Observatorio Astronomico de Consell,176,,Observatorio Astronomico de Consell
,Observatorio Astronomico de Corbera,A10,,Observatorio Astronomico de Corbera
,Observatorio Astronomico de Mallorca,620,,Observatorio Astronomico de Mallorca
,Observatorio Astronomico de Montevideo,X50,,Observatorio Astronomico de Montevideo
,Observatorio Astronomico de Valencia,975,,Observatorio Astronomico de Valencia
,Observatorio Astronomico del Colegio Cristo Rey,I31,,Observatorio Astronomico del Colegio Cristo Rey
,"Observatorio Astronomico John Beckman, Almeria",I56,,"Observatorio Astronomico John Beckman, Almeria"
,Observatorio Astronomico Los Molinos,844,,Observatorio Astronomico Los Molinos
,"Observatorio Astronomico Salvador, Rio Cuarto",I20,,"Observatorio Astronomico Salvador, Rio Cuarto"
,Observatorio Astronomico Sobradillo,Z29,,Observatorio Astronomico Sobradillo
,Observatorio Astronomico Tolar,X00,,Observatorio Astronomico Tolar
,"Observatorio Astronomico UAdeC, Saltillo",G42,,"Observatorio Astronomico UAdeC, Saltillo"
,"Observatorio Astronomico UTP, Pereira",W63,,"Observatorio Astronomico UTP, Pereira"
,"Observatorio Atlante, Tenerife",J51,,"Observatorio Atlante, Tenerife"
,"Observatorio Beta Orionis, Rosario",I32,,"Observatorio Beta Orionis, Rosario"
,"Observatorio Blanquita, Vaciamadrid",I99,,"Observatorio Blanquita, Vaciamadrid"
,"Observatorio Buenaventura Suarez, San Luis",G43,,"Observatorio Buenaventura Suarez, San Luis"
,"Observatorio Cala d'Hort, Ibiza",C85,,"Observatorio Cala d'Hort, Ibiza"
,"Observatorio Calarreona, Aguilas",J79,,"Observatorio Calarreona, Aguilas"
,Observatorio Campo dos Amarais,X74,,Observatorio Campo dos Amarais
,"Observatorio Carda, Villaviciosa",Z76,,"Observatorio Carda, Villaviciosa"
,"Observatorio Carmelita, Tiana",B20,,"Observatorio Carmelita, Tiana"
,"Observatorio Carpe-Noctem, Madrid",I72,,"Observatorio Carpe-Noctem, Madrid"
,Observatorio Castellon,I75,,Observatorio Castellon
,"Observatorio CEAM, Caimari",C33,,"Observatorio CEAM, Caimari"
,Observatorio Cesaraugusto,Z96,,Observatorio Cesaraugusto
,"Observatorio Cielo Profundo, Leon",J01,,"Observatorio Cielo Profundo, Leon"
,"Observatorio Coralito, La Laguna",Z27,,"Observatorio Coralito, La Laguna"
,Observatorio Costa Teguise,Z39,,Observatorio Costa Teguise
,"Observatorio Cruz del Sur, San Justo",I39,,"Observatorio Cruz del Sur, San Justo"
,Observatorio d'Ager,B22,,Observatorio d'Ager
,Observatorio de Begues,170,,Observatorio de Begues
,Observatorio de Cantabria,J96,,Observatorio de Cantabria
,Observatorio de La Canada,,,Observatorio de La Canada
,Observatorio de la Hita,I95,,Observatorio de la Hita
,Observatorio de Sencelles,K14,,Observatorio de Sencelles
,"Observatorio DiezALaOnce, Illana",J36,,"Observatorio DiezALaOnce, Illana"
,"Observatorio do Pico dos Dias, Itajuba",874,,"Observatorio do Pico dos Dias, Itajuba"
,Observatorio d'Ontinyent,445,,Observatorio d'Ontinyent
,"Observatorio El Catalejo, Santa Rosa",I48,,"Observatorio El Catalejo, Santa Rosa"
,Observatorio El Cielo de Consell,C66,,Observatorio El Cielo de Consell
,Observatorio El Far,B52,,Observatorio El Far
,"Observatorio El Gato Gris, Tanti",I19,,"Observatorio El Gato Gris, Tanti"
,Observatorio el Miron del Cielo,Z64,,Observatorio el Miron del Cielo
,"Observatorio El Teatrillo de Lyra, Ager",C74,,"Observatorio El Teatrillo de Lyra, Ager"
,Observatorio El Vendrell,B71,,Observatorio El Vendrell
,"Observatorio Estels, Ager",C76,,"Observatorio Estels, Ager"
,Observatorio Estrella de Mar,Z81,,Observatorio Estrella de Mar
,Observatorio Forcarei,Z62,,Observatorio Forcarei
,"Observatorio Fuente de los matos, Muriedas",I59,,"Observatorio Fuente de los matos, Muriedas"
,Observatorio Geminis Austral,I30,,Observatorio Geminis Austral
